"visitor_id","timestamp","variant","converted","page_views","session_duration","referrer","user_agent","device"
1,2025-05-17 22:54:15,"VariantC",0,4,28,"direct","Chrome","Mobile"
2,2025-05-17 23:13:17,"VariantC",0,9,15,"twitter","Chrome","Desktop"
3,2025-05-23 11:37:55,"VariantC",0,5,17,"google","Chrome","Mobile"
4,2025-05-29 10:27:52,"VariantA",0,6,11,"twitter","Chrome","Mobile"
5,2025-05-25 06:45:15,"VariantC",0,6,19,"google","Edge","Desktop"
6,2025-06-13 18:55:31,"VariantA",0,7,28,"google","Safari","Desktop"
7,2025-05-26 05:42:09,"VariantA",0,6,15,"google","Chrome","Mobile"
8,2025-05-29 23:22:24,"VariantA",0,6,17,"facebook","Chrome","Desktop"
9,2025-06-07 19:39:18,"VariantC",0,8,27,"facebook","Edge","Mobile"
10,2025-05-25 05:02:19,"Control",0,7,33,"google","Chrome","Desktop"
11,2025-05-18 12:31:59,"VariantA",0,5,9,"google","Chrome","Mobile"
12,2025-05-29 13:44:17,"VariantA",0,5,21,"facebook","Chrome","Desktop"
13,2025-05-26 10:59:30,"Control",0,6,13,"google","Chrome","Desktop"
14,2025-06-08 05:59:08,"VariantA",0,13,30,"email","Safari","Mobile"
15,2025-05-29 00:50:54,"VariantC",0,13,26,"twitter","Safari","Desktop"
16,2025-05-20 14:05:09,"Control",0,5,11,"twitter","Chrome","Mobile"
17,2025-05-30 16:53:18,"VariantC",0,7,10,"facebook","Mobile WebView","Desktop"
18,2025-05-17 15:27:52,"VariantC",0,3,17,"direct","Chrome","Desktop"
19,2025-06-16 00:22:55,"Control",0,5,11,"direct","Firefox","Mobile"
20,2025-06-01 11:10:25,"Control",0,7,15,"facebook","Chrome","Mobile"
21,2025-06-15 03:27:34,"Control",0,9,10,"facebook","Chrome","Mobile"
22,2025-06-04 14:44:36,"Control",0,5,29,"google","Chrome","Mobile"
23,2025-06-14 23:12:03,"VariantC",0,7,22,"facebook","Edge","Mobile"
24,2025-05-28 17:57:22,"VariantA",0,4,14,"google","Chrome","Mobile"
25,2025-05-24 07:46:43,"VariantC",0,3,28,"facebook","Chrome","Mobile"
26,2025-06-09 07:34:27,"VariantA",0,7,26,"email","Chrome","Mobile"
27,2025-05-20 15:46:33,"Control",0,4,25,"google","Edge","Desktop"
28,2025-06-08 05:56:55,"VariantA",0,6,58,"twitter","Chrome","Desktop"
29,2025-05-27 15:18:31,"VariantC",0,6,22,"google","Chrome","Mobile"
30,2025-05-27 00:36:10,"VariantA",0,5,23,"facebook","Safari","Mobile"
31,2025-06-01 03:55:25,"Control",0,5,25,"google","Chrome","Mobile"
32,2025-06-04 21:53:19,"VariantC",0,7,21,"google","Chrome","Mobile"
