"Timestamp","UserID","UserPersona","PageVisited","Action","TrafficSource","DeviceType","Browser","Location","TimeOnPage_Sec","PurchaseValue"
2025-06-01 00:05:00,"User_277","Budget Shopper","Product_Headphones_Y","Purchase","Direct","Desktop","Chrome","London",229,72.92
2025-06-01 00:05:00,"User_4","Casual Browser","Blog_Post_Fashion","EmailClick","Email Campaign","Desktop","Edge","Berlin",46,NA
2025-06-01 00:05:00,"User_417","Tech Enthusiast","Homepage","FormSubmit","Social Media","Mobile","Chrome","Sydney",235,NA
2025-06-01 00:05:00,"User_98","Casual Browser","Product_Headphones_Y","EmailClick","Social Media","Desktop","Chrome","Sydney",35,NA
2025-06-01 00:06:00,"User_333","Tech Enthusiast","Category_Electronics","View","Paid Search","Mobile","Chrome","Berlin",24,NA
2025-06-01 00:06:00,"User_42","Loyal Customer","AboutUs","AddToCart","Social Media","Desktop","Chrome","Paris",80,NA
2025-06-01 00:06:00,"User_438","Loyal Customer","AboutUs","EmailClick","Social Media","Mobile","Edge","Berlin",13,NA
2025-06-01 00:07:00,"User_140","Loyal Customer","AboutUs","FormSubmit","Organic Search","Tablet","Edge","London",236,NA
2025-06-01 00:07:00,"User_294","Fashion Buyer","Product_Headphones_Y","Purchase","Social Media","Mobile","Firefox","Mumbai",115,371.71
2025-06-01 00:07:00,"User_346","Loyal Customer","AboutUs","FormSubmit","Direct","Desktop","Chrome","London",121,NA
2025-06-01 00:07:00,"User_36","Budget Shopper","ContactUs","EmailClick","Direct","Desktop","Chrome","Mumbai",34,NA
2025-06-01 00:07:00,"User_416","Casual Browser","Category_Electronics","Purchase","Organic Search","Mobile","Edge","Berlin",298,181.04
2025-06-01 00:07:00,"User_454","Fashion Buyer","Product_Sneakers_Pro","AddToCart","Social Media","Desktop","Chrome","Sydney",172,NA
2025-06-01 00:07:00,"User_492","Tech Enthusiast","Category_Electronics","View","Social Media","Desktop","Chrome","Mumbai",116,NA
2025-06-01 00:07:00,"User_497","Loyal Customer","Blog_Post_Fashion","Unsubscribe","Organic Search","Mobile","Chrome","Dubai",NA,NA
2025-06-01 00:08:00,"User_145","Tech Enthusiast","AboutUs","AddToCart","Paid Search","Tablet","Chrome","Sydney",82,NA
2025-06-01 00:08:00,"User_239","Fashion Buyer","Category_Apparel","AddToCart","Paid Search","Desktop","Edge","Mumbai",125,NA
2025-06-01 00:08:00,"User_298","Budget Shopper","Blog_Post_AI","AddToCart","Organic Search","Desktop","Chrome","Mumbai",132,NA
2025-06-01 00:08:00,"User_69","Tech Enthusiast","Product_Jeans_SlimFit","Purchase","Social Media","Tablet","Chrome","Berlin",189,281.1
